EVENTNO,MONTH,DAY,YEAR,TIME,LATITUDE,LONGITUDE,HEADING,LEGTYPE,LEGSTAGE,WX,CLOUD,VISIBLTY,BEAUFORT,SIGHTNO,SPECCODE,IDREL,NUMBER,CONFIDNC,NUMCALF,ANHEAD,PHOTOS,BEHAV1,BEHAV2,BEHAV3,BEHAV4,BEHAV5,BEHAV6,BEHAV7,BEHAV8,BEHAV9,BEHAV10,BEHAV11,BEHAV12,BEHAV13,BEHAV14,BEHAV15,NOTES
1,7,28,2016,93533,47.83375667,-64.082945,49.9,5,1,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,"START WATCH FOR DAY: JCA-P,PAD-S, DDM-R -   "
2,7,28,2016,93537,47.83382667,-64.08281667,50,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
3,7,28,2016,93637,47.83528667,-64.08029,49.2,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
4,7,28,2016,93737,47.83672167,-64.07773,50.3,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
5,7,28,2016,93837,47.83816333,-64.07516667,48.8,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
6,7,28,2016,93937,47.839595,-64.07258667,48.9,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
7,7,28,2016,94037,47.84107,-64.07003833,50.6,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
8,7,28,2016,94137,47.84253,-64.06748667,49.8,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
9,7,28,2016,94237,47.84398833,-64.06492667,48.7,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
10,7,28,2016,94337,47.84544667,-64.06235667,49.7,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
11,7,28,2016,94437,47.84691833,-64.05977667,51.1,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
12,7,28,2016,94537,47.84836167,-64.057115,51.3,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
13,7,28,2016,94637,47.84981833,-64.05453667,50.2,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
14,7,28,2016,94737,47.85125167,-64.05192167,50,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
15,7,28,2016,94837,47.85267667,-64.049305,52.3,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
16,7,28,2016,94937,47.85408667,-64.04669,50,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
17,7,28,2016,95037,47.85551333,-64.04404667,50.8,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
18,7,28,2016,95137,47.85693,-64.04140167,52.4,5,2,H,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,
19,7,28,2016,95140,47.857,-64.04126667,52.4,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,
20,7,28,2016,95237,47.858375,-64.03877167,49.7,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,
21,7,28,2016,95337,47.85981333,-64.03610167,51,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,
22,7,28,2016,95437,47.861255,-64.03344167,51.6,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,
23,7,28,2016,95537,47.86269333,-64.03075667,50.8,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,
24,7,28,2016,95637,47.86413333,-64.02806833,52.2,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,
25,7,28,2016,95737,47.865565,-64.02536667,51.7,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,
26,7,28,2016,95837,47.86700667,-64.022635,51.9,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,
27,7,28,2016,95937,47.86853167,-64.01998333,43.6,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,
28,7,28,2016,100037,47.87028667,-64.01769833,33.3,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,
29,7,28,2016,100137,47.872415,-64.01636,14.8,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,
30,7,28,2016,100237,47.87469,-64.015925,4.7,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,
31,7,28,2016,100240,47.87480667,-64.01591,4.7,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 3-P, 5- - S"
32,7,28,2016,100337,47.87697833,-64.01573833,0.9,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 3-P, 5- - S"
33,7,28,2016,100437,47.87927167,-64.01547333,2.8,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 3-P, 5- - S"
34,7,28,2016,100537,47.88158333,-64.01550667,357,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 3-P, 5- - S"
35,7,28,2016,100637,47.883905,-64.015595,0.2,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 3-P, 5- - S"
36,7,28,2016,100737,47.886235,-64.01565,358.1,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 3-P, 5- - S"
37,7,28,2016,100837,47.8886,-64.01577667,357.2,5,2,H,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 3-P, 5- - S"
38,7,28,2016,100928,47.89061167,-64.01588667,357.2,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
39,7,28,2016,100938,47.89096167,-64.01593,355.3,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
40,7,28,2016,101038,47.89329167,-64.01604833,356.8,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
41,7,28,2016,101138,47.89559333,-64.01617,357.5,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
42,7,28,2016,101238,47.897865,-64.01633667,357.9,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
43,7,28,2016,101338,47.90017167,-64.01650667,357.2,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
44,7,28,2016,101438,47.90246667,-64.01664833,355.3,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
45,7,28,2016,101515,47.90388167,-64.01679333,355.3,5,2,H,3,4.5,2,1,FG-U,9,2,0,,,1,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
46,7,28,2016,101538,47.90476,-64.01685,358.4,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
47,7,28,2016,101638,47.90706,-64.01703167,356.8,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
48,7,28,2016,101738,47.90937,-64.01719667,356.5,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
49,7,28,2016,101838,47.91165667,-64.017365,358.2,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
50,7,28,2016,101938,47.913955,-64.01751167,357.3,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
51,7,28,2016,102038,47.916245,-64.01766333,358.2,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
52,7,28,2016,102138,47.918535,-64.01776833,355.6,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
53,7,28,2016,102238,47.92080333,-64.0179,355.7,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
54,7,28,2016,102338,47.92305833,-64.017985,357.5,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
55,7,28,2016,102438,47.9253,-64.01809667,359.1,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
56,7,28,2016,102538,47.92753333,-64.01820333,358.1,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
57,7,28,2016,102638,47.92976,-64.01828333,357.5,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
58,7,28,2016,102738,47.93201,-64.018405,356.3,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
59,7,28,2016,102838,47.93423,-64.01857167,358.4,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
60,7,28,2016,102938,47.93644333,-64.01871333,357.8,5,2,H,3,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,"AVERAGE VIS; 4-P, 5- - S"
