EVENTNO,MONTH,DAY,YEAR,TIME,LATITUDE,LONGITUDE,HEADING,LEGTYPE,LEGSTAGE,WX,CLOUD,VISIBLTY,BEAUFORT,SIGHTNO,SPECCODE,IDREL,NUMBER,CONFIDNC,NUMCALF,ANHEAD,PHOTOS,BEHAV1,BEHAV2,BEHAV3,BEHAV4,BEHAV5,BEHAV6,BEHAV7,BEHAV8,BEHAV9,BEHAV10,BEHAV11,BEHAV12,BEHAV13,BEHAV14,BEHAV15,NOTES
1,8,2,2016,93011,48.25792833,-63.67768667,118,5,1,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,BEGIN WATCH FOR DAY PAD-P PKH-S JCA-R
2,8,2,2016,93051,48.25907,-63.67771667,118,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
3,8,2,2016,93501,48.26721667,-63.68045833,118,5,2,C,2,5,1,1,FIWH,3,1,0,,,1,,,,,,,,,,,,,,,,
4,8,2,2016,103013,48.26840833,-63.88351833,118,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,W/C KRH-P DDM-S PAD-R 
5,8,2,2016,103753,48.26751,-63.90969167,267,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
6,8,2,2016,103853,48.26744,-63.913115,269,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
7,8,2,2016,103953,48.26734167,-63.91652833,268,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2,2016,104053,48.26725167,-63.91993167,268,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
9,8,2,2016,104153,48.26716167,-63.92324667,267,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
10,8,2,2016,104253,48.26705667,-63.92649333,268,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
11,8,2,2016,104353,48.26695,-63.92968833,267,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
12,8,2,2016,104453,48.26685333,-63.932885,267,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
13,8,2,2016,104553,48.26675167,-63.936055,267,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
14,8,2,2016,104653,48.26657,-63.93916667,265,5,2,C,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,
