EVENTNO,MONTH,DAY,YEAR,TIME,LATITUDE,LONGITUDE,HEADING,LEGTYPE,LEGSTAGE,WX,CLOUD,VISIBLTY,BEAUFORT,SIGHTNO,SPECCODE,IDREL,NUMBER,CONFIDNC,NUMCALF,ANHEAD,PHOTOS,BEHAV1,BEHAV2,BEHAV3,BEHAV4,BEHAV5,BEHAV6,BEHAV7,BEHAV8,BEHAV9,BEHAV10,BEHAV11,BEHAV12,BEHAV13,BEHAV14,BEHAV15,NOTES
1,8,3,2016,93345,47.87858167,-63.48881833,322,5,1,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,"START WATCH: KRH-P, DDM-S, PKH-R "
2,8,3,2016,93418,47.87958167,-63.489925,322,5,2,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
3,8,3,2016,93422,47.87970667,-63.49007833,320,5,2,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
4,8,3,2016,93522,47.88159,-63.49224667,321,5,2,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
5,8,3,2016,93622,47.88347833,-63.49443833,321,5,2,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
6,8,3,2016,93722,47.88539833,-63.49662333,321,5,2,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
7,8,3,2016,93822,47.88731667,-63.49889333,323,5,2,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
8,8,3,2016,93922,47.88924667,-63.50109833,322,5,2,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
9,8,3,2016,94022,47.891145,-63.50329833,323,5,2,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
10,8,3,2016,94122,47.89307167,-63.50554667,322,5,2,G,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,
11,8,3,2016,94145,47.893765,-63.50637,322,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
12,8,3,2016,94222,47.89499167,-63.50777667,322,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
13,8,3,2016,94322,47.89687667,-63.51017667,318,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
14,8,3,2016,94422,47.89871833,-63.512625,321,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
15,8,3,2016,94522,47.90053667,-63.51507,320,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
16,8,3,2016,94622,47.90234167,-63.517625,316,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
17,8,3,2016,94722,47.904195,-63.5201,318,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
18,8,3,2016,94822,47.90604833,-63.52255167,320,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
19,8,3,2016,94838,47.90651667,-63.52314167,320,5,2,H,3,5,3,1,FG-U,9,1,0,,,1,,,,,,,,,,,,,,,,
20,8,3,2016,94922,47.90791333,-63.524965,320,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
21,8,3,2016,95022,47.90963333,-63.52764167,310,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
22,8,3,2016,95122,47.91128333,-63.53043,311,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
23,8,3,2016,95222,47.91298167,-63.53321833,314,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
24,8,3,2016,95322,47.91465667,-63.53602167,313,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
25,8,3,2016,95422,47.91625833,-63.53884,311,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
26,8,3,2016,95523,47.91779667,-63.54168,309,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
27,8,3,2016,95623,47.91930833,-63.54450167,310,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
28,8,3,2016,95723,47.920745,-63.54742,304,5,2,H,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,
