Time,TrkLatitude,TrkLongitude,TrkAltitude,HeadingPlatMagnetic,HeadingPlatTrue,PlatformSpeed,TrkDist,LAT - ENVIRONMENTALS,LONG - ENVIRONMENTALS,MONTH - ENVIRONMENTALS,DAY - ENVIRONMENTALS,YEAR - ENVIRONMENTALS,LEGTYPE - ENVIRONMENTALS,LEGSTAGE - ENVIRONMENTALS,WX - ENVIRONMENTALS,CLOUD - ENVIRONMENTALS,VISIBLTY - ENVIRONMENTALS,BEAUFORT - ENVIRONMENTALS,ENVIRO NOTES - ENVIRONMENTALS,LAT - SIGHTINGS,LONG - SIGHTINGS,SIGHTNO - SIGHTINGS,SPECCODE - SIGHTINGS,IDREL - SIGHTINGS,NUMBER - SIGHTINGS,OBS - SIGHTINGS,CONFIDNC - SIGHTINGS,NUMCALF - SIGHTINGS,ANHEAD - SIGHTINGS,PHOTOS - SIGHTINGS,BEHAV1 - SIGHTINGS,BEHAV2 - SIGHTINGS,BEHAV3 - SIGHTINGS,BEHAV4 - SIGHTINGS,BEHAV5 - SIGHTINGS,BEHAV6 - SIGHTINGS,BEHAV7 - SIGHTINGS,BEHAV8 - SIGHTINGS,BEHAV9 - SIGHTINGS,BEHAV10 - SIGHTINGS,BEHAV11 - SIGHTINGS,BEHAV12 - SIGHTINGS,BEHAV13 - SIGHTINGS,BEHAV14 - SIGHTINGS,BEHAV15 - SIGHTINGS,NOTES - SIGHTINGS
2017-08-02 06:57:29.6 ADT,47.68082,-63.8321833333333,10 m,91,72,0 kts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 06:57:30.8 ADT,47.6808,-63.8321866666667,7 m,207,188,4.7 kts,0.0012083452 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 06:57:30.8 ADT,47.6808,-63.8321866666667,7 m,207,188,4.7 kts,0 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 06:59:13.6 ADT,47.6808,-63.8321866666667,7 m,207,188,4.7 kts,0 nm,47.6785466666667,-63.8325616666667,8,2,2017,6,0,C,1,5,0,STEAMED OVERNIGHT TO THIS POSITION - ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 06:59:22.2 ADT,47.6783533333333,-63.832585,5 m,203.9,184.9,4.7 kts,0.1477788586 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:00:22.2 ADT,47.67706,-63.8327583333333,5 m,204.1,185.1,4.7 kts,0.0779678279 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:00:32.8 ADT,47.676845,-63.8327866666667,4 m,204.2,185.2,4.7 kts,0.0129594147 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:01:32.8 ADT,47.675555,-63.8329466666667,4 m,203.7,184.7,4.7 kts,0.0777218094 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:02:32.8 ADT,47.6742333333333,-63.8331016666667,4 m,202,183,4.7 kts,0.0796004978 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:03:32.8 ADT,47.6729566666667,-63.8331183333333,4 m,198.9,179.9,4.7 kts,0.0766546118 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:04:32.8 ADT,47.6716433333333,-63.8331433333333,5 m,199.5,180.5,4.7 kts,0.0788596113 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:05:32.8 ADT,47.6703666666667,-63.83315,7 m,200.3,181.3,4.7 kts,0.0766521242 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:06:33.1 ADT,47.6690833333333,-63.8331666666667,7 m,199.5,180.5,4.6 kts,0.0770548666 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:07:33.1 ADT,47.6677933333333,-63.8331883333333,5 m,199.7,180.7,4.7 kts,0.0774571438 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:08:33.1 ADT,47.666475,-63.8332183333333,6 m,199.7,180.7,4.7 kts,0.0791626299 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:09:33.1 ADT,47.665195,-63.8332383333333,7 m,199.4,180.4,4.6 kts,0.0768560398 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:10:33.2 ADT,47.663905,-63.8332616666667,6 m,200.1,181.1,4.7 kts,0.0774579362 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:11:33.2 ADT,47.662605,-63.833285,6 m,199.9,180.9,4.7 kts,0.0780582968 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:12:33.2 ADT,47.661295,-63.8333133333333,7 m,200.1,181.1,4.7 kts,0.0786613433 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:13:33.2 ADT,47.6599866666667,-63.8333383333333,6 m,199.1,180.1,4.7 kts,0.0785594366 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:14:33.2 ADT,47.6587033333333,-63.833315,8 m,198.6,179.6,4.7 kts,0.0770576974 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:15:33.3 ADT,47.657395,-63.833315,6 m,199,180,4.7 kts,0.0785529314 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:16:33.3 ADT,47.6562,-63.8335283333333,8 m,258.7,239.7,2.9 kts,0.0722651999 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:17:15.2 ADT,47.6562,-63.8335283333333,8 m,258.7,239.7,2.9 kts,0.0722651999 nm,47.6567666666667,-63.833815,8,2,2017,5,1,C,1,5,0,"START WATCH FOR DAY: DDM-P, PAD-S, ARK-R -    ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:17:33.3 ADT,47.65726,-63.8338166666667,8 m,19.1,0.1,6.8 kts,0.0647022962 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:18:08.1 ADT,47.65726,-63.8338166666667,8 m,19.1,0.1,6.8 kts,0.0647022962 nm,47.6585316666667,-63.8338116666667,8,2,2017,5,2,C,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:18:33.4 ADT,47.6594966666667,-63.8338066666667,7 m,18.5,359.5,8.2 kts,0.1342910981 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:19:33.4 ADT,47.6617833333333,-63.8336783333333,6 m,20.4,1.4,8.3 kts,0.1373905595 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:20:33.4 ADT,47.6640916666667,-63.8335866666667,6 m,20,1,8.3 kts,0.1386429478 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:21:33.6 ADT,47.6663866666667,-63.8335316666667,4 m,19.6,0.6,8.3 kts,0.1378107946 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:22:33.6 ADT,47.6686933333333,-63.8335033333333,5 m,19.1,0.1,8.4 kts,0.1384980593 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:23:33.6 ADT,47.6710116666667,-63.8335083333333,4 m,18.6,359.6,8.3 kts,0.13919394 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:24:33.6 ADT,47.673325,-63.8335016666667,4 m,19.4,0.4,8.4 kts,0.1388938524 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:25:33.6 ADT,47.6756933333333,-63.8335,4 m,19.1,0.1,8.3 kts,0.142195832 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:26:33.6 ADT,47.678015,-63.8334866666667,4 m,20,1,8.4 kts,0.1393949702 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:27:33.6 ADT,47.6803433333333,-63.8334616666667,4 m,19.2,0.2,8.4 kts,0.1397978506 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:28:33.6 ADT,47.6826866666667,-63.8334416666667,4 m,18.6,359.6,8.3 kts,0.1406971273 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:29:33.7 ADT,47.684995,-63.833435,4 m,18.9,359.9,8.4 kts,0.1385936506 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:30:33.7 ADT,47.6873183333333,-63.8334066666667,4 m,18.9,359.9,8.4 kts,0.1394986962 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:31:33.8 ADT,47.6896283333333,-63.833385,4 m,19.5,0.5,8.3 kts,0.1386962205 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:32:32.0 ADT,47.6896283333333,-63.833385,4 m,19.5,0.5,8.3 kts,0.1386962205 nm,47.6918516666667,-63.8333566666667,8,2,2017,5,2,C,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:32:33.8 ADT,47.6919266666667,-63.8333566666667,4 m,18.9,359.9,8.3 kts,0.1379977351 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:33:33.8 ADT,47.694235,-63.8333383333333,4 m,18.8,359.8,8.3 kts,0.138595369 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:34:33.9 ADT,47.6965516666667,-63.8333416666667,4 m,19.2,0.199999999999999,8.3 kts,0.139093791 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:35:22.7 ADT,47.6965516666667,-63.8333416666667,4 m,19.2,0.199999999999999,8.3 kts,0.139093791 nm,,,,,,,,,,,,,47.6984283333333,-63.833365,1,HAPO,3,2,AS,00,1,,1,40,,,,,,,,,,,,,,,
2017-08-02 07:35:33.9 ADT,47.6988533333333,-63.83337,5 m,17.9,358.9,8.3 kts,0.1381978618 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:36:33.8 ADT,47.7011716666667,-63.8333933333333,4 m,19,0,8.3 kts,0.1391969864 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:37:33.8 ADT,47.7034916666667,-63.833355,4 m,20,1,8.3 kts,0.139302472 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:38:33.8 ADT,47.7057866666667,-63.8333433333333,4 m,19.6,0.600000000000001,8.3 kts,0.1377936555 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:39:32.8 ADT,47.7057866666667,-63.8333433333333,4 m,19.6,0.600000000000001,8.3 kts,0.1377936555 nm,,,,,,,,,,,,,47.7080416666667,-63.833315,2,MIWH,3,1,BS,00,,,1,,,,,,,,,,,,,,,,
2017-08-02 07:39:33.9 ADT,47.70808,-63.833315,3 m,18.7,359.7,8.3 kts,0.1376975402 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:40:33.9 ADT,47.71037,-63.83331,4 m,18.6,359.6,8.3 kts,0.1374927953 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:40:53.9 ADT,47.71037,-63.83331,4 m,18.6,359.6,8.3 kts,0.1374927953 nm,,,,,,,,,,,,,47.7111383333333,-63.8332983333333,3,MIWH,3,1,AP,00,,,1,,,,,,,,,,,,,,,,
2017-08-02 07:41:33.9 ADT,47.7126716666667,-63.8333,4 m,18.3,359.3,8.3 kts,0.1381937094 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-02 07:42:34.1 ADT,47.7149633333333,-63.8333233333333,4 m,17.8,358.8,8.3 kts,0.137595943 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
