Date (MM/DD/YYYY),Time (GMT),Lat,Lon,Number,Platform,Photos,Notes
06/27/2017,14:50:43,47.53587,-63.49868,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,14:54:49,47.52519,-63.50439,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,14:56:26,47.52183,-63.49756,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,14:57:34,47.54319,-63.47558,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,14:57:42,47.54638,-63.47152,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,14:59:27,47.55251,-63.4655,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:10:22,47.56065,-63.4711,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:12:06,47.54176,-63.48298,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:14:09,47.5497,-63.46889,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:14:52,47.54095,-63.48271,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:14:57,47.54177,-63.47966,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:18:09,47.55648,-63.47148,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:22:37,47.55689,-63.47546,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:23:42,47.56337,-63.49366,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:24:24,47.56423,-63.49225,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:27:53,47.57481,-63.48843,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:28:19,47.5685,-63.49373,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:31:34,47.56436,-63.48552,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:32:52,47.54123,-63.4842,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:37:03,47.59067,-63.456,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:45:01,47.59557,-63.44481,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:53:17,47.57137,-63.51497,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:55:54,47.54656,-63.53394,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,15:56:00,47.54494,-63.53298,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,16:08:38,47.50964,-63.52765,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,16:08:46,47.51246,-63.52369,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,16:10:32,47.51004,-63.52615,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,16:10:43,47.51018,-63.51886,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,16:11:12,47.5156,-63.52803,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,20:53:40,48.45632,-63.32427,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,20:58:41,48.44777,-63.32149,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/27/2017,21:01:26,48.45264,-63.33329,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,18:55:55,47.50992,-63.62107,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,18:57:12,47.50003,-63.61406,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,18:59:08,47.51356,-63.6134,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:01:23,47.51722,-63.63203,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:03:37,47.5134,-63.65332,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:04:10,47.5,-63.64731,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:06:24,47.49794,-63.61377,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:09:27,47.47581,-63.62587,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:11:23,47.46595,-63.59684,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:11:40,47.47439,-63.59526,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:12:41,47.45978,-63.59102,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:12:49,47.4579,-63.58588,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:19:21,47.45431,-63.5827,2,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:24:29,47.51576,-63.58268,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:25:20,47.51889,-63.58647,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:31:49,47.50098,-63.55091,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:43:38,47.53724,-63.65916,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,19:48:21,47.52648,-63.69577,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,20:13:07,47.51662,-63.72036,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,20:37:24,47.71085,-63.6236,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,20:39:23,47.71085,-63.62405,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,20:44:28,47.72768,-63.58043,2,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,20:46:35,47.72289,-63.57634,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,20:48:44,47.75422,-63.53405,2,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,20:53:47,47.75188,-63.53076,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
06/29/2017,20:57:54,47.75227,-63.54214,1,NOAA Twin Otter,Yes,Sightings from NOAA Aerial Report
07/03/2017,18:09:44,47.50159167,-63.75026167,1,CWI- the Shelagh,Yes,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/03/2017,18:15:07,47.50180333,-63.74921,1,CWI- the Shelagh,No,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/03/2017,19:12:40,47.49057833,-63.73437,1,CWI- the Shelagh,Yes,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/03/2017,20:12:34,47.50282833,-63.73974833,1,CWI- the Shelagh,Yes,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/04/2017,20:08:13,47.489525,-63.59710167,1,CWI- the Shelagh,Yes,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/04/2017,21:05:08,47.490045,-63.60055,2,CWI- the Shelagh,Yes,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/04/2017,22:18:27,47.47498333,-63.58300167,1,CWI- the Shelagh,No,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/04/2017,22:24:49,47.48190833,-63.59850333,1,CWI- the Shelagh,Yes,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/04/2017,22:27:38,47.48388167,-63.600675,2,CWI- the Shelagh,Yes,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/04/2017,23:23:12,47.47741667,-63.59064167,1,CWI- the Shelagh,No,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/05/2017,10:39:33,48.10696667,-63.48298333,1,CWI- the Shelagh,Yes,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/05/2017,16:34:54,47.49643,-63.61488333,1,CWI- the Shelagh,No,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"" (- ENROUTE ENTANGLED WHALE -  )"
07/05/2017,16:37:09,47.498535,-63.62201667,1,CWI- the Shelagh,No,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/05/2017,17:05:18,47.51667667,-63.69274833,1,CWI- the Shelagh,Yes,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"" (ENTANGLED)"
07/05/2017,22:02:05,47.424675,-63.51775167,1,CWI- the Shelagh,Yes,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/05/2017,22:02:08,47.42464167,-63.51776167,1,CWI- the Shelagh,No,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/05/2017,22:08:04,47.42564333,-63.51821833,1,CWI- the Shelagh,Yes,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/05/2017,22:10:24,47.42588833,-63.51812,1,CWI- the Shelagh,Yes,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/05/2017,22:27:03,47.42782333,-63.517545,1,CWI- the Shelagh,No,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
07/05/2017, 22:27:04,47.42782833,-63.51754667,1,CWI- the Shelagh,No,"Sightings from CWI R/V the Shelagh. Using ""sighting time"" not ""reporting time"""
