datetime_utc,sei,fin,right,humpback,lat,lon,analyst,notes
20160330161929,absent,absent,absent,present,41.6127,-69.7425,julianne.gurnee,
20160330164929,absent,present,absent,absent,41.6141,-69.7351,julianne.gurnee,
20160330174929,absent,present,absent,present,41.6194,-69.7218,julianne.gurnee,
20160330183522,absent,absent,absent,maybe,41.6176,-69.7136,julianne.gurnee,Possible+HW+pitch+track+in+P15.++Need+more+evidence+to+say+Detected.
20160330184820,absent,absent,absent,absent,41.6177,-69.7105,julianne.gurnee,
20160330184929,absent,present,absent,present,41.6177,-69.7105,julianne.gurnee,
20160330190429,absent,present,absent,present,41.6160,-69.7078,julianne.gurnee,
20160330194929,absent,present,absent,absent,41.6099,-69.6998,julianne.gurnee,Some+low+frequency+down+sweeps+in+P2.++Can%27t+tell+if+these+are+HW+or+FW.
20160330195129,absent,absent,absent,absent,41.6099,-69.6998,julianne.gurnee,
20160330204929,absent,present,absent,present,41.5931,-69.6870,julianne.gurnee,
20160330205046,absent,absent,absent,absent,41.5931,-69.6870,julianne.gurnee,
20160330214929,absent,present,absent,present,41.5768,-69.6748,julianne.gurnee,
20160330224929,absent,present,absent,present,41.5578,-69.6629,julianne.gurnee,
20160330234929,absent,present,absent,present,41.5377,-69.6539,julianne.gurnee,
20160331004205,absent,present,absent,present,41.5273,-69.6441,julianne.gurnee,
20160331014929,absent,absent,absent,present,41.5233,-69.6345,julianne.gurnee,
20160331024929,absent,absent,absent,present,41.5268,-69.6263,julianne.gurnee,
20160331034929,absent,absent,absent,present,41.5388,-69.6152,julianne.gurnee,
20160331044929,absent,present,absent,present,41.5534,-69.6035,julianne.gurnee,
20160331054341,absent,present,absent,present,41.5605,-69.5933,julianne.gurnee,
20160331064929,absent,present,absent,present,41.5617,-69.5851,julianne.gurnee,
20160331074929,absent,present,absent,present,41.5569,-69.5765,julianne.gurnee,
20160331084929,absent,present,absent,present,41.5451,-69.5656,julianne.gurnee,
20160331094929,absent,present,absent,present,41.5283,-69.5537,julianne.gurnee,
20160331103950,absent,present,absent,absent,41.5113,-69.5415,julianne.gurnee,
20160331105420,absent,absent,absent,absent,41.5051,-69.5392,julianne.gurnee,
20160331110429,absent,present,absent,present,41.4996,-69.5366,julianne.gurnee,
20160331114929,absent,maybe,absent,present,41.4942,-69.5270,julianne.gurnee,
20160331124929,absent,present,absent,present,41.4716,-69.5150,julianne.gurnee,
20160331134929,absent,absent,absent,absent,41.4575,-69.5016,julianne.gurnee,Three+short+downsweeps+in+P5+and+another+in+P11%2C+not+sure+what+these+would+be+%0D%0Aother+than+HW.++Also+two+FW+pulses+in+P11+but+not+enough+evidence+to+be+%0D%0Aconvincing+of+presence.
20160331144929,absent,present,absent,present,41.4629,-69.4993,julianne.gurnee,
20160331154929,absent,absent,absent,present,41.4724,-69.4925,julianne.gurnee,
20160331164929,absent,absent,absent,present,41.4843,-69.4792,julianne.gurnee,
20160331173627,absent,absent,absent,absent,41.4845,-69.4704,julianne.gurnee,
20160331180429,absent,present,absent,present,41.5094,-69.4649,julianne.gurnee,
20160331184929,absent,present,absent,present,41.5138,-69.4597,julianne.gurnee,
