datetime_utc,sei,fin,right,humpback,lat,lon,analyst,notes
20160624142436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160624152436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160624162436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160624172436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160624182436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160624192436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160624202436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160624212436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160624222436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160624232436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625002436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625022436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625032436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625042436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625052436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625062436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625072436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625082436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625092436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625102436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625112436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625122436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625132436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625142436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625152436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625162436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625172436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625182436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625192436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625202436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625212436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625222436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160625232436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626002436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626012436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626022436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626032436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626042436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626052436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626062436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626072436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626082436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626092436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626102436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626112436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626122436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626132436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626142436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626152436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626153936,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626162436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626163936,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626172436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626173936,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626182436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626192436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626202436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626212436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626222436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160626232436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627002436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627012436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627022436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627032436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627042436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627052436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627062436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627072436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627082436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627092436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627102436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627112436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627122436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627132436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627142436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627152436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627153936,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627162436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627172436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627182436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627192436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627202436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627212436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627222436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160627232436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160628002436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160628012436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160628022436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160628032436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160628042436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160628052436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160628062436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160628072436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160628082436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160628092436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
20160628102436,absent,absent,absent,absent,43.9791,-68.0854,julianne.gurnee,
