datetime_utc,sei,fin,right,humpback,lat,lon,analyst,notes
20160624181800,absent,absent,absent,absent,43.2743,-65.6605,kim.davies,
20160624191800,absent,absent,absent,absent,43.2588,-65.6122,kim.davies,
20160624193300,absent,absent,absent,absent,43.2569,-65.6117,kim.davies,
20160624201800,absent,absent,absent,absent,43.2508,-65.6106,kim.davies,
20160624211800,absent,absent,absent,absent,43.2378,-65.5476,kim.davies,
20160624221800,absent,absent,absent,absent,43.2310,-65.5537,kim.davies,
20160624223300,absent,absent,absent,absent,43.2294,-65.5552,kim.davies,
20160624231800,absent,absent,absent,absent,43.2226,-65.5437,kim.davies,
20160625001800,absent,absent,absent,absent,43.2172,-65.5657,kim.davies,
20160625010716,absent,absent,absent,absent,43.2112,-65.5690,kim.davies,
20160625021800,absent,absent,absent,absent,43.2121,-65.6223,kim.davies,
20160625030912,absent,absent,absent,absent,43.2162,-65.6670,kim.davies,
20160625031352,absent,absent,absent,absent,43.2162,-65.6670,kim.davies,
20160625031607,absent,absent,absent,absent,43.2162,-65.6670,kim.davies,
20160625031800,absent,absent,absent,absent,43.2162,-65.6670,kim.davies,
20160625033300,absent,absent,absent,absent,43.2160,-65.6697,kim.davies,
20160625041800,absent,absent,absent,absent,43.2130,-65.6620,kim.davies,humpback+social+sounds+in+P7%2C+P9%3F
20160625050541,absent,absent,absent,absent,43.2121,-65.6642,kim.davies,
20160625050951,absent,absent,absent,absent,43.2200,-65.6967,kim.davies,
20160625051239,absent,absent,absent,absent,43.2200,-65.6967,kim.davies,
20160625051800,absent,absent,absent,absent,43.2200,-65.6967,kim.davies,
20160625053300,absent,absent,absent,absent,43.2187,-65.6955,kim.davies,
20160625061800,absent,absent,absent,absent,43.2158,-65.6875,kim.davies,
20160625070838,absent,absent,absent,absent,43.2133,-65.6794,kim.davies,
20160625071241,absent,absent,absent,absent,43.2121,-65.6567,kim.davies,
20160625071533,absent,absent,absent,absent,43.2121,-65.6567,kim.davies,
20160625071800,absent,absent,absent,absent,43.2121,-65.6567,kim.davies,
20160625073300,absent,absent,absent,absent,43.2110,-65.6535,kim.davies,
20160625081800,absent,absent,absent,absent,43.2079,-65.6461,kim.davies,humpback+social+sounds+in+P3%2C+P4%3F
20160625090740,absent,absent,absent,absent,43.2046,-65.6389,kim.davies,
20160625091146,absent,absent,absent,absent,43.1971,-65.5635,kim.davies,
20160625091501,absent,absent,absent,absent,43.1971,-65.5635,kim.davies,
20160625091800,absent,absent,absent,absent,43.1971,-65.5635,kim.davies,
20160625093300,absent,absent,absent,absent,43.1963,-65.5624,kim.davies,
20160625101800,absent,absent,absent,absent,43.1926,-65.5695,kim.davies,
20160625103300,absent,absent,absent,absent,43.1912,-65.5717,kim.davies,
20160625110521,absent,absent,absent,absent,43.1884,-65.5761,kim.davies,
20160625110920,absent,absent,absent,absent,43.1889,-65.5233,kim.davies,
20160625111159,absent,absent,absent,absent,43.1889,-65.5233,kim.davies,
20160625111800,absent,absent,absent,absent,43.1889,-65.5233,kim.davies,
20160625113300,absent,absent,absent,absent,43.1894,-65.5255,kim.davies,
20160625131134,absent,absent,absent,absent,43.1934,-65.5416,kim.davies,
20160625131534,absent,absent,absent,absent,43.1934,-65.5416,kim.davies,
20160625131852,absent,absent,absent,absent,43.1934,-65.5416,kim.davies,
20160625133300,absent,absent,absent,absent,43.1926,-65.5459,kim.davies,
20160625141800,absent,absent,absent,absent,43.1904,-65.5544,kim.davies,
20160625150534,absent,absent,absent,absent,43.1880,-65.5627,kim.davies,
20160625150750,absent,absent,absent,absent,43.1880,-65.5627,kim.davies,
20160625150815,absent,absent,absent,absent,43.1880,-65.5627,kim.davies,
20160625151800,absent,absent,absent,absent,43.1946,-65.6033,kim.davies,
20160625161800,absent,absent,absent,absent,43.1894,-65.5942,kim.davies,
20160625163300,absent,absent,absent,absent,43.1879,-65.5919,kim.davies,
20160625170457,absent,absent,absent,absent,43.1884,-65.6030,kim.davies,
20160625171247,absent,absent,absent,absent,43.1949,-65.6348,kim.davies,
20160625171814,absent,absent,absent,absent,43.1949,-65.6348,kim.davies,
20160625173300,absent,absent,absent,absent,43.1956,-65.6392,kim.davies,
20160625181800,absent,absent,absent,absent,43.1936,-65.6308,kim.davies,
20160625191102,absent,absent,absent,absent,43.1902,-65.6146,kim.davies,
20160625191452,absent,absent,absent,absent,43.1902,-65.6146,kim.davies,
20160625191733,absent,absent,absent,absent,43.1902,-65.6146,kim.davies,
20160625191800,absent,absent,absent,absent,43.1902,-65.6146,kim.davies,
20160625201800,absent,absent,absent,absent,43.1880,-65.6030,kim.davies,
20160625203300,absent,absent,maybe,absent,43.1872,-65.6002,kim.davies,
20160625210548,absent,absent,absent,absent,43.1856,-65.5946,kim.davies,
20160625210939,absent,absent,absent,absent,43.1778,-65.5523,kim.davies,
20160625211257,absent,absent,absent,absent,43.1778,-65.5523,kim.davies,
20160625211800,absent,absent,absent,absent,43.1778,-65.5523,kim.davies,
20160625221800,absent,absent,absent,absent,43.1795,-65.5626,kim.davies,
20160625223300,absent,absent,absent,absent,43.1799,-65.5656,kim.davies,
20160625224800,absent,absent,absent,absent,43.1803,-65.5685,kim.davies,
20160625231155,absent,absent,absent,absent,43.1768,-65.5360,kim.davies,
20160625231544,absent,absent,absent,absent,43.1768,-65.5360,kim.davies,
20160625231829,absent,absent,absent,absent,43.1768,-65.5360,kim.davies,
20160626001800,absent,absent,absent,absent,43.1778,-65.5452,kim.davies,
20160626003300,absent,absent,absent,absent,43.1782,-65.5481,kim.davies,
20160626010948,absent,absent,absent,absent,43.1773,-65.5658,kim.davies,
20160626011348,absent,absent,absent,absent,43.1773,-65.5658,kim.davies,
20160626011626,absent,absent,absent,absent,43.1773,-65.5658,kim.davies,
20160626011800,absent,absent,absent,absent,43.1773,-65.5658,kim.davies,
20160626021800,absent,absent,absent,absent,43.1807,-65.5774,kim.davies,
20160626030816,absent,absent,absent,absent,43.1805,-65.5812,kim.davies,
20160626031227,absent,absent,absent,absent,43.1842,-65.6420,kim.davies,
20160626031539,absent,absent,absent,absent,43.1842,-65.6420,kim.davies,
20160626031800,absent,absent,absent,absent,43.1842,-65.6420,kim.davies,
20160626041800,absent,absent,absent,absent,43.1784,-65.6392,kim.davies,
20160626050721,absent,absent,absent,absent,43.1731,-65.6339,kim.davies,
20160626051052,absent,absent,absent,absent,43.1822,-65.6956,kim.davies,
