datetime_utc,sei,fin,right,humpback,lat,lon,analyst,notes
20160928050945,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928060945,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928070945,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928080945,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928082445,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928083945,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928090945,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928092445,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928100945,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928102445,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928103945,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928105445,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928110945,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928112445,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928120945,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928122445,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928130945,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928132445,absent,maybe,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928140945,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928142445,absent,present,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928150945,absent,absent,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928152445,absent,absent,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928153945,absent,absent,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928155445,absent,absent,absent,absent,41.1462,-70.9448,julianne.gurnee,
20160928160945,absent,absent,absent,absent,41.1462,-70.9448,julianne.gurnee,
