datetime_utc,sei,fin,right,humpback,lat,lon,analyst,notes
20161006145909,absent,absent,absent,absent,43.3060,-65.7173,hansen.johnson,
20161006145958,absent,absent,absent,absent,43.3060,-65.7173,hansen.johnson,
20161006150037,absent,absent,absent,absent,43.3060,-65.7173,hansen.johnson,
20161006150103,absent,absent,absent,absent,43.3060,-65.7173,hansen.johnson,
20161006150141,absent,absent,absent,absent,43.3060,-65.7173,hansen.johnson,
20161006150207,absent,absent,absent,absent,43.3060,-65.7173,hansen.johnson,
20161006150300,absent,absent,absent,absent,43.3060,-65.7173,hansen.johnson,
20161006150348,absent,absent,absent,absent,43.3060,-65.7173,hansen.johnson,
20161006150433,absent,absent,absent,absent,43.3060,-65.7173,hansen.johnson,
20161006150636,absent,absent,absent,absent,43.3060,-65.7173,hansen.johnson,
20161006151537,absent,absent,absent,absent,43.3087,-65.7259,hansen.johnson,
20161006151850,absent,absent,absent,absent,43.3087,-65.7259,hansen.johnson,
20161006153037,absent,absent,absent,absent,43.3086,-65.7247,hansen.johnson,p11%2C13+unknown+LF+noise+that%27s+likely+not+biological
20161006163037,absent,absent,absent,absent,43.3043,-65.7148,hansen.johnson,p14+isolated+downsweep.+Not+enough+for+possible+humpback
20161006164537,absent,absent,absent,absent,43.3032,-65.7123,hansen.johnson,
20161006173037,absent,absent,absent,absent,43.3190,-65.7447,hansen.johnson,
20161006174537,absent,absent,absent,absent,43.3179,-65.7423,hansen.johnson,
20161006183037,absent,absent,absent,absent,43.3144,-65.7347,hansen.johnson,
20161006184537,absent,absent,absent,absent,43.3133,-65.7323,hansen.johnson,
20161006193037,absent,absent,absent,absent,43.2939,-65.6892,hansen.johnson,
20161006194537,absent,absent,absent,absent,43.2933,-65.6867,hansen.johnson,
20161006203037,absent,absent,absent,absent,43.2925,-65.6804,hansen.johnson,p1+unknown+LF+background+noise
20161006212701,absent,absent,absent,absent,43.2746,-65.6128,hansen.johnson,
20161006212914,absent,absent,absent,absent,43.2746,-65.6128,hansen.johnson,
20161006213037,absent,absent,absent,absent,43.2746,-65.6128,hansen.johnson,
20161006213051,absent,absent,absent,absent,43.2746,-65.6128,hansen.johnson,
20161006213658,absent,absent,absent,absent,43.2746,-65.6128,hansen.johnson,
20161006213839,absent,absent,absent,absent,43.2746,-65.6128,hansen.johnson,
20161006214537,absent,absent,absent,absent,43.2727,-65.6042,hansen.johnson,
20161006220037,absent,absent,absent,absent,43.2713,-65.6022,hansen.johnson,
20161006223037,absent,absent,absent,absent,43.2685,-65.5982,hansen.johnson,
20161006224537,absent,absent,absent,absent,43.2671,-65.5959,hansen.johnson,
20161006233037,absent,absent,absent,absent,43.2613,-65.5694,hansen.johnson,
20161007003037,absent,absent,absent,absent,43.2559,-65.5617,hansen.johnson,
20161007013037,absent,absent,absent,absent,43.2504,-65.5874,hansen.johnson,
20161007014537,absent,absent,absent,absent,43.2493,-65.5851,hansen.johnson,
20161007023037,absent,absent,absent,absent,43.2460,-65.5780,hansen.johnson,
20161007033037,absent,absent,absent,absent,43.2505,-65.6420,hansen.johnson,
20161007034537,absent,absent,absent,absent,43.2499,-65.6396,hansen.johnson,
20161007043037,absent,absent,absent,absent,43.2479,-65.6311,hansen.johnson,
20161007044537,absent,absent,absent,absent,43.2472,-65.6283,hansen.johnson,
20161007053037,absent,absent,absent,absent,43.2517,-65.6770,hansen.johnson,
20161007054537,absent,absent,absent,absent,43.2511,-65.6740,hansen.johnson,
20161007063037,absent,absent,absent,absent,43.2495,-65.6653,hansen.johnson,
20161007064537,absent,absent,absent,absent,43.2489,-65.6625,hansen.johnson,
20161007073037,absent,absent,absent,absent,43.2447,-65.6630,hansen.johnson,
20161007074537,absent,absent,absent,absent,43.2445,-65.6602,hansen.johnson,
20161007083037,absent,absent,absent,absent,43.2432,-65.6516,hansen.johnson,
20161007084537,absent,absent,absent,absent,43.2429,-65.6488,hansen.johnson,
20161007093037,absent,absent,absent,absent,43.2327,-65.6079,hansen.johnson,
20161007094537,absent,absent,absent,absent,43.2328,-65.6051,hansen.johnson,
20161007103037,absent,absent,absent,absent,43.2326,-65.5971,hansen.johnson,
20161007104537,absent,absent,absent,absent,43.2326,-65.5945,hansen.johnson,
20161007113037,absent,absent,absent,absent,43.2225,-65.5675,hansen.johnson,
20161007114537,absent,absent,absent,absent,43.2225,-65.5646,hansen.johnson,
20161007123037,absent,absent,absent,absent,43.2228,-65.5562,hansen.johnson,
20161007133037,absent,absent,absent,absent,43.2177,-65.5781,hansen.johnson,
20161007134537,absent,absent,absent,absent,43.2181,-65.5756,hansen.johnson,p12+very+faint+classified+upcall.+not+enough+for+possible
20161007140037,absent,absent,absent,absent,43.2186,-65.5729,hansen.johnson,
20161007143037,absent,absent,absent,absent,43.2193,-65.5676,hansen.johnson,
20161007144537,absent,absent,absent,absent,43.2197,-65.5650,hansen.johnson,
20161007153037,absent,absent,absent,absent,43.2216,-65.6220,hansen.johnson,
20161007154537,absent,absent,absent,absent,43.2218,-65.6192,hansen.johnson,
20161007163037,absent,absent,absent,absent,43.2227,-65.6111,hansen.johnson,
20161007173037,absent,absent,absent,absent,43.2298,-65.6599,hansen.johnson,
20161007174537,absent,absent,absent,absent,43.2302,-65.6571,hansen.johnson,
20161007180037,absent,absent,absent,absent,43.2305,-65.6544,hansen.johnson,
20161007183037,absent,absent,absent,absent,43.2310,-65.6487,hansen.johnson,
20161007184537,absent,absent,absent,absent,43.2310,-65.6459,hansen.johnson,
20161007193037,absent,absent,absent,absent,43.2313,-65.6513,hansen.johnson,p12+unknown+LF+tonals
20161007194537,absent,absent,absent,absent,43.2311,-65.6483,hansen.johnson,
20161007200037,absent,absent,absent,absent,43.2311,-65.6454,hansen.johnson,
20161007203037,absent,absent,absent,absent,43.2317,-65.6400,hansen.johnson,
20161007204537,absent,absent,absent,absent,43.2322,-65.6376,hansen.johnson,
20161007210037,absent,absent,absent,absent,43.2325,-65.6352,hansen.johnson,
20161007213037,absent,absent,absent,absent,43.2217,-65.5931,hansen.johnson,
20161007214537,absent,absent,absent,absent,43.2223,-65.5911,hansen.johnson,
20161007220037,absent,absent,absent,absent,43.2231,-65.5896,hansen.johnson,
20161007223037,absent,absent,absent,absent,43.2240,-65.5856,hansen.johnson,
20161007224537,absent,absent,absent,absent,43.2246,-65.5833,hansen.johnson,
20161007233037,absent,absent,absent,absent,43.2115,-65.5371,hansen.johnson,
20161007234537,absent,absent,absent,absent,43.2134,-65.5369,hansen.johnson,
20161008003037,absent,absent,absent,absent,43.2191,-65.5354,hansen.johnson,
20161008004537,absent,absent,absent,absent,43.2207,-65.5342,hansen.johnson,
20161008010037,absent,absent,absent,absent,43.2218,-65.5321,hansen.johnson,
20161008013037,absent,absent,absent,absent,43.2074,-65.5348,hansen.johnson,
20161008014537,absent,absent,absent,absent,43.2064,-65.5366,hansen.johnson,
20161008020037,absent,absent,absent,absent,43.2074,-65.5340,hansen.johnson,
20161008023037,absent,absent,absent,absent,43.2097,-65.5295,hansen.johnson,
20161008031724,absent,absent,absent,absent,43.2056,-65.5579,hansen.johnson,
20161008032251,absent,absent,absent,absent,43.2056,-65.5579,hansen.johnson,
20161008032530,absent,absent,absent,absent,43.2056,-65.5579,hansen.johnson,
20161008033037,absent,absent,absent,absent,43.2037,-65.5672,hansen.johnson,
20161008034537,absent,absent,absent,absent,43.2045,-65.5654,hansen.johnson,
20161008043037,absent,absent,absent,absent,43.2077,-65.5582,hansen.johnson,
20161008044537,absent,absent,absent,absent,43.2087,-65.5556,hansen.johnson,
20161008050037,absent,absent,absent,absent,43.2098,-65.5532,hansen.johnson,p1+classified+sw+singlet+amid+noise.+not+enough+for+possible
20161008052405,absent,absent,absent,absent,43.2073,-65.6022,hansen.johnson,
20161008052542,absent,absent,absent,absent,43.2073,-65.6022,hansen.johnson,
20161008052712,absent,absent,absent,absent,43.2075,-65.6083,hansen.johnson,
20161008053037,absent,absent,absent,absent,43.2075,-65.6083,hansen.johnson,
20161008054537,absent,absent,absent,absent,43.2088,-65.6080,hansen.johnson,
20161008063037,absent,absent,absent,absent,43.2114,-65.6000,hansen.johnson,
20161008064537,absent,absent,absent,absent,43.2124,-65.5976,hansen.johnson,
20161008070037,absent,absent,absent,absent,43.2133,-65.5952,hansen.johnson,
20161008073037,absent,absent,absent,absent,43.2088,-65.6157,hansen.johnson,
20161008074537,absent,absent,absent,absent,43.2098,-65.6133,hansen.johnson,
