datetime_utc,sei,fin,right,humpback,lat,lon,analyst,notes
20170602155229,absent,absent,absent,absent,43.2568,-65.5497,hansen.johnson,
20170602155246,absent,absent,absent,absent,43.2568,-65.5497,hansen.johnson,
20170602155423,absent,absent,absent,absent,43.2568,-65.5497,hansen.johnson,
20170602160027,absent,absent,absent,absent,43.2568,-65.5497,hansen.johnson,
20170602160057,absent,absent,absent,absent,43.2568,-65.5497,hansen.johnson,
20170602160133,absent,absent,absent,absent,43.2568,-65.5497,hansen.johnson,
20170602165354,absent,absent,absent,absent,43.2502,-65.5574,hansen.johnson,
20170602175354,absent,absent,absent,absent,43.2437,-65.5616,hansen.johnson,Some+faint+LF+tonals+in+p13
20170602185354,absent,absent,absent,absent,43.2486,-65.6351,hansen.johnson,
20170602195354,absent,absent,absent,absent,43.2451,-65.6299,hansen.johnson,
20170602200543,absent,absent,absent,absent,43.2451,-65.6299,hansen.johnson,
20170602205354,absent,absent,absent,absent,43.2504,-65.6675,hansen.johnson,
20170602215354,absent,absent,absent,absent,43.2474,-65.6578,hansen.johnson,
20170602225354,absent,absent,absent,absent,43.2477,-65.6604,hansen.johnson,
20170602235354,absent,absent,absent,absent,43.2447,-65.6505,hansen.johnson,
20170603005354,absent,absent,absent,absent,43.2349,-65.6026,hansen.johnson,
20170603010854,absent,absent,absent,absent,43.2339,-65.6004,hansen.johnson,
20170603015354,absent,absent,absent,absent,43.2309,-65.5941,hansen.johnson,
20170603020802,absent,absent,absent,absent,43.2251,-65.5617,hansen.johnson,
20170603021211,absent,absent,absent,absent,43.2251,-65.5617,hansen.johnson,
20170603025354,absent,absent,absent,absent,43.2235,-65.5616,hansen.johnson,
20170603030854,absent,absent,absent,absent,43.2235,-65.5644,hansen.johnson,
20170603035354,absent,absent,absent,absent,43.2231,-65.5724,hansen.johnson,
20170603040854,absent,absent,absent,absent,43.2228,-65.5788,hansen.johnson,
20170603041135,absent,absent,absent,absent,43.2228,-65.5788,hansen.johnson,
20170603041554,absent,absent,absent,absent,43.2228,-65.5788,hansen.johnson,
20170603045354,absent,absent,absent,absent,43.2204,-65.5833,hansen.johnson,
