datetime_utc,sei,fin,right,humpback,lat,lon,analyst,notes
20170731192450,absent,absent,absent,absent,42.1258,-70.1646,julianne.gurnee,
20170731193950,absent,absent,absent,absent,42.1233,-70.1666,julianne.gurnee,
20170731202450,absent,absent,absent,absent,42.1155,-70.1706,julianne.gurnee,
20170731212450,absent,absent,absent,absent,42.1189,-70.1700,julianne.gurnee,
20170731213950,absent,absent,absent,absent,42.1200,-70.1704,julianne.gurnee,
20170731222450,absent,absent,absent,absent,42.1152,-70.1651,julianne.gurnee,
20170731223950,absent,absent,absent,absent,42.1137,-70.1612,julianne.gurnee,
20170731232450,absent,absent,absent,absent,42.1089,-70.1416,julianne.gurnee,
20170731233950,absent,absent,absent,absent,42.1071,-70.1332,julianne.gurnee,
20170801002450,absent,absent,absent,absent,42.1008,-70.1032,julianne.gurnee,
20170801003950,absent,absent,absent,absent,42.0986,-70.0922,julianne.gurnee,
20170801012450,absent,absent,absent,absent,42.0928,-70.0572,julianne.gurnee,
20170801022450,absent,absent,absent,absent,42.0881,-70.0105,julianne.gurnee,
20170801023950,absent,absent,absent,absent,42.0884,-69.9995,julianne.gurnee,
20170801032450,absent,absent,absent,absent,42.0931,-69.9734,julianne.gurnee,
20170801033950,absent,absent,absent,absent,42.0960,-69.9670,julianne.gurnee,
20170801042450,absent,absent,absent,absent,42.0993,-69.9553,julianne.gurnee,
20170801043950,absent,absent,absent,absent,42.0966,-69.9527,julianne.gurnee,
20170801052450,absent,absent,absent,absent,42.0862,-69.9474,julianne.gurnee,
20170801053950,absent,absent,absent,absent,42.0830,-69.9459,julianne.gurnee,
20170801062450,absent,absent,absent,absent,42.0744,-69.9410,julianne.gurnee,
20170801072450,absent,absent,absent,absent,42.0647,-69.9340,julianne.gurnee,
20170801082450,absent,absent,absent,absent,42.0542,-69.9288,julianne.gurnee,
20170801092450,absent,absent,absent,absent,42.0437,-69.9213,julianne.gurnee,
20170801093950,absent,absent,absent,absent,42.0408,-69.9188,julianne.gurnee,
20170801102450,absent,absent,absent,absent,42.0306,-69.9101,julianne.gurnee,
20170801103950,absent,absent,absent,absent,42.0266,-69.9064,julianne.gurnee,
20170801112450,absent,absent,absent,absent,42.0112,-69.8942,julianne.gurnee,
20170801113950,absent,absent,absent,absent,42.0054,-69.8898,julianne.gurnee,
20170801122450,absent,absent,absent,absent,41.9855,-69.8762,julianne.gurnee,
20170801123950,absent,absent,absent,absent,41.9783,-69.8723,julianne.gurnee,
20170801132450,absent,absent,absent,absent,41.9552,-69.8634,julianne.gurnee,
20170801133950,absent,absent,absent,absent,41.9474,-69.8607,julianne.gurnee,
20170801142450,absent,absent,absent,absent,41.9244,-69.8535,julianne.gurnee,
20170801143950,absent,absent,absent,absent,41.9169,-69.8515,julianne.gurnee,
20170801152450,absent,absent,absent,absent,41.8970,-69.8470,julianne.gurnee,
20170801153950,absent,absent,absent,absent,41.8917,-69.8453,julianne.gurnee,
20170801162450,absent,absent,absent,absent,41.8803,-69.8405,julianne.gurnee,
20170801163950,absent,absent,absent,absent,41.8770,-69.8392,julianne.gurnee,
20170801172450,absent,absent,absent,absent,41.8695,-69.8340,julianne.gurnee,
20170801173950,absent,absent,absent,absent,41.8674,-69.8318,julianne.gurnee,
20170801175450,absent,absent,absent,absent,41.8658,-69.8289,julianne.gurnee,
20170801182450,absent,absent,absent,absent,41.8631,-69.8236,julianne.gurnee,
20170801183950,absent,absent,absent,absent,41.8622,-69.8210,julianne.gurnee,
20170801192450,absent,absent,absent,absent,41.8597,-69.8114,julianne.gurnee,Possible+upcall+in+P11+but+I+am+suspicious+of+noise+here+and+there+are+a+couple+of+spurious+pitch+%0D%0Atracks+surrounding+it.
20170801193950,absent,absent,absent,absent,41.8585,-69.8075,julianne.gurnee,
20170801202450,absent,absent,absent,absent,41.8539,-69.7945,julianne.gurnee,
20170801212450,absent,absent,absent,absent,41.8427,-69.7765,julianne.gurnee,
20170801213950,absent,absent,absent,absent,41.8391,-69.7730,julianne.gurnee,
20170801222450,absent,absent,absent,absent,41.8285,-69.7631,julianne.gurnee,
20170801223950,absent,absent,absent,absent,41.8251,-69.7603,julianne.gurnee,
20170801232450,absent,absent,absent,absent,41.8154,-69.7520,julianne.gurnee,
20170801233950,absent,maybe,absent,absent,41.8118,-69.7492,julianne.gurnee,
20170801235450,absent,absent,absent,absent,41.8080,-69.7470,julianne.gurnee,
20170802002450,absent,absent,absent,absent,41.8033,-69.7435,julianne.gurnee,
20170802003950,absent,absent,absent,absent,41.8017,-69.7437,julianne.gurnee,
20170802012450,absent,absent,absent,absent,41.7993,-69.7528,julianne.gurnee,
20170802013950,absent,absent,absent,absent,41.7980,-69.7526,julianne.gurnee,
20170802022450,absent,absent,absent,absent,41.7871,-69.7354,julianne.gurnee,
20170802023950,absent,absent,absent,absent,41.7847,-69.7286,julianne.gurnee,
20170802032450,absent,absent,absent,absent,41.7829,-69.7062,julianne.gurnee,
20170802033950,absent,absent,absent,absent,41.7827,-69.6981,julianne.gurnee,
20170802042450,absent,absent,absent,absent,41.7831,-69.6736,julianne.gurnee,
20170802043950,absent,absent,absent,absent,41.7843,-69.6665,julianne.gurnee,
20170802052450,absent,absent,absent,absent,41.7903,-69.6510,julianne.gurnee,
20170802053950,absent,absent,absent,absent,41.7929,-69.6470,julianne.gurnee,
20170802055450,absent,absent,absent,absent,41.7956,-69.6436,julianne.gurnee,
20170802062450,absent,absent,absent,absent,41.8015,-69.6380,julianne.gurnee,
20170802063950,absent,maybe,absent,absent,41.8047,-69.6359,julianne.gurnee,
20170802065450,absent,absent,absent,absent,41.8084,-69.6344,julianne.gurnee,
20170802072450,absent,absent,absent,absent,41.8156,-69.6334,julianne.gurnee,
20170802073950,absent,absent,absent,absent,41.8186,-69.6333,julianne.gurnee,
20170802082450,absent,absent,absent,absent,41.8161,-69.6307,julianne.gurnee,
20170802083950,absent,absent,absent,absent,41.8120,-69.6288,julianne.gurnee,
20170802092450,absent,absent,absent,absent,41.7987,-69.6221,julianne.gurnee,
20170802102450,absent,absent,absent,absent,41.7836,-69.6169,julianne.gurnee,
20170802103950,absent,absent,absent,absent,41.7801,-69.6156,julianne.gurnee,
20170802112450,absent,absent,absent,absent,41.7699,-69.6087,julianne.gurnee,
20170802122450,absent,absent,absent,absent,41.7555,-69.5959,julianne.gurnee,
20170802123950,absent,absent,absent,absent,41.7520,-69.5921,julianne.gurnee,
20170802132450,absent,absent,absent,absent,41.7411,-69.5783,julianne.gurnee,
20170802133950,absent,absent,absent,absent,41.7374,-69.5729,julianne.gurnee,
20170802142450,absent,absent,absent,absent,41.7253,-69.5552,julianne.gurnee,
20170802143950,absent,absent,absent,absent,41.7210,-69.5487,julianne.gurnee,
20170802152450,absent,absent,absent,absent,41.7068,-69.5264,julianne.gurnee,
20170802153950,absent,absent,absent,absent,41.7017,-69.5188,julianne.gurnee,
20170802162450,absent,absent,absent,absent,41.6859,-69.4975,julianne.gurnee,
20170802163950,absent,absent,absent,absent,41.6804,-69.4916,julianne.gurnee,
20170802172450,absent,absent,absent,absent,41.6647,-69.4753,julianne.gurnee,
20170802173950,absent,absent,absent,absent,41.6600,-69.4699,julianne.gurnee,
20170802175450,absent,absent,absent,absent,41.6559,-69.4648,julianne.gurnee,
20170802182450,absent,absent,absent,absent,41.6487,-69.4543,julianne.gurnee,
