datetime_utc,sei,fin,right,humpback,lat,lon,analyst,notes
20160624023241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624024741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624030241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624033241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624034741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624043241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624050241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624053241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624054741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624063241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624064741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624070241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624071741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624073241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624074741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624080241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624081741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624083241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624084741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624090241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624091741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624093241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624094741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624100241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624101741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624103241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624104741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624113241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624114741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624123241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624124741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624133241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624134741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624143241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624144741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624153241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624154741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624163241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,FW+sequence+in+panel+10+is+tempting%2C+but+IPIs+are+not+consistent.+
20160624164741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624173241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624174741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624183241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624184741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624193241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624194741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624203241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624204741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624213241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624214741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624223241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624224741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624230241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624233241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160624234741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625000241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625003241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625004741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625013241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625014741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625023241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625024741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625033241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625034741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625043241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625044741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625050241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625053241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625054741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625060241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625063241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625064741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625073241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625074741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625080241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625083241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625084741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625090241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625093241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,400+Hz+tone+in+panel+12+is+interesting%2C+but+not+convincing+for+HW+%28too+much+noise+in+that+band%29.
20160625094741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625103241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,Tone+in+panel+10+is+interesting%2C+but+lots+of+noise+in+this+period.+Ship+passage%3F
20160625113241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,Smokes%21+Lots+of+noise+here.
20160625123241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625124741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625133241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625134741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625143241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625153241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625154741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625163241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625173241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625174741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625183241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625184741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625193241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,Intense+noise.
20160625203241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625213241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625214741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,Could+be+faint+humpback+singing+in+panels+9-13%2C+but+not+at+all+convincing.
20160625223241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625224741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625230241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160625233241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626003241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626004741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626013241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626023241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626033241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626034741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626040241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626043241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626044741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626050241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626051741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626053241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626054741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626060241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626061741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626063241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,Interesting+noise+in+p5-6.+
20160626064741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626073241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,Some+interesting+pitch+tracks%2C+but+none+are+convincing.+
20160626074741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626083241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626084741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626090241,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
20160626091741,absent,absent,absent,absent,40.2607,-73.2198,mark.baumgartner,
