lat_deg,lat_min,lon_deg,lon_min,name
47,10,62,0,GSL Speed Reduction Zone
47,10,65,0,GSL Speed Reduction Zone
50,20,65,0,GSL Speed Reduction Zone
50,20,62,0,GSL Speed Reduction Zone
44,49,66,27,Grand Manan Critical Habitat
44,47,66,17,Grand Manan Critical Habitat
44,40,66,17,Grand Manan Critical Habitat
44,33,66,22,Grand Manan Critical Habitat
44,29,66,30,Grand Manan Critical Habitat
44,29,66,37,Grand Manan Critical Habitat
44,42,66,37,Grand Manan Critical Habitat
43,16,64,55,Roseway Basin Critical Habitat
42,47,64,59,Roseway Basin Critical Habitat
42,39,65,31,Roseway Basin Critical Habitat
42,52,66,5,Roseway Basin Critical Habitat
