Station,Channel,Date,Mode,Time Deployed (ET),Deploy Success?,Reason failed,Lat (Deg Min),Long (Deg Min),Calibration,Sonobuoy Lot,Comments,
,,27-Jun-17,,,no,,,,,SNÉ8516,"buoy dead, not deployed",
,,27-Jun-17,,,no,,,,,SNÉ0211,"buoy dead, not deployed",
13,34,27-Jun-17,df,14:27:27,yes,,47.51117,-63.54374,n/a,SNÉ8585,bouy drop,
13,34,27-Jun-17,df,14:30:06,yes,,47.51237,-63.54622,,SNÉ8585,ap buoy,
13,34,27-Jun-17,df,15:04:23,yes,,47.50968,-63.54443,,SNÉ8585,flight over buoy,
13,34,27-Jun-17,df,15:05:47,yes,,47.50814,-63.54631,,SNÉ8585,"flight over buoy, adjusting gain",
13,34,27-Jun-17,df,16:06:00,yes,,47.50639,-63.54614,,SNÉ8585,ap buoy,
13,34,27-Jun-17,df,16:35:30,yes,,46.86963,-63.31742,,SNÉ8585,signal noise,
13,34,27-Jun-17,df,16:45:25,yes,,46.60014,-63.18266,,SNÉ8585,signal lost maybe late,
13,34,27-Jun-17,df,21:27:39,yes,,48.06609,-63.33787,,SNÉ8585,difar signal distinct,
13,34,27-Jun-17,df,21:35:24,yes,,47.83067,-63.34002,,SNÉ8585,difar signal strong,
13,34,27-Jun-17,df,21:53:02,yes,,47.5144,-63.56709,,SNÉ8585,off right side 200m,
13,34,27-Jun-17,df,21:54:20,yes,,47.51405,-63.56478,,SNÉ8585,didn't see probably off left,
13,34,27-Jun-17,df,22:26:41,yes,,46.49443,-63.40863,,SNÉ8585,difar sig totally gone,
14,94,29-Jun-17,df,18:51:22,yes,,47.4933,-63.62188,,SN05UND01728610,sonobuoy deployed,
14,94,29-Jun-17,df,18:55:05,yes,,47.4922,-63.62088,,SN05UND01728610,ap buoy in water,
14,94,29-Jun-17,df,21:20:36,yes,,47.48226,-63.61851,,SN05UND01728610,saw buoy close to original drop ,
14,94,29-Jun-17,df,21:34:18,yes,,47.06556,-63.5945,,SN05UND01728610,buoy cpa 10 sec before W turn,
14,94,29-Jun-17,df,21:36:15,yes,,47.00337,-63.59242,,SN05UND01728610,some blanks in spectragram,
14,94,29-Jun-17,df,21:48:03,yes,,46.63745,-63.57726,,SN05UND01728610,lost difar,
15,59,05-Jul-17,df,,yes,,47.53344,-63.61039,,SN05UND01728580,missed buoy deployment time,
15,59,05-Jul-17,df,14:35:00,yes,,47.53344,-63.61039,,SN05UND01728580,ap buoy,
15,59,05-Jul-17,df,15:33:27,yes,,47.53331,-63.60891,,SN05UND01728580,ap buoy,
15,59,05-Jul-17,df,17:39:30,yes,,46.5008,-63.17727,,SN05UND01728580,difar faint,
15,59,05-Jul-17,df,17:39:58,yes,,46.48807,-63.17074,,SN05UND01728580,stopped recording,
15,59,05-Jul-17,df,22:36:10,yes,,47.39526,-63.01299,,SN05UND01728580,signal gone,
16,59,08-Jul-17,df,14:54:19,yes,,47.61039,-64.08901,,SN07SPW00522741,buoy away,
16,59,08-Jul-17,df,14:56:10,yes,,47.61059,-64.08946,,SN07SPW00522741,ap buoy,
16,59,08-Jul-17,df,15:25:53,yes,,47.60977,-64.0878,,SN07SPW00522741,ap buoy,
16,59,08-Jul-17,df,16:34:26,yes,,47.71672,-64.03535,,SN07SPW00522741,VHF signal,
16,59,08-Jul-17,df,17:08:34,yes,,47.24899,-63.73154,,SN07SPW00522741,sat call just ended,
16,59,08-Jul-17,df,17:14:03,yes,,47.09596,-63.63221,,SN07SPW00522741,screen noisy still difar,
16,59,08-Jul-17,df,17:17:56,yes,,46.98901,-63.56304,,SN07SPW00522741,stopped recording,
16,59,08-Jul-17,df,17:22:30,yes,,46.86132,-63.48154,,SN07SPW00522741,difar signal gone on winradio,
16,59,08-Jul-17,df,19:54:26,yes,,47.10645,-63.54421,,SN07SPW00522741,start recording,
16,59,08-Jul-17,df,20:36:21,yes,,47.74682,-64.13082,,SN07SPW00522741,bumped recv channel,
16,59,08-Jul-17,df,21:39:54,yes,,47.59551,-64.10364,,SN07SPW00522741,prop pitch change,
16,59,08-Jul-17,df,21:57:17,yes,,47.58521,-64.08769,,SN07SPW00522741,fv present and few whales,
16,59,08-Jul-17,df,22:38:01,yes,,47.21616,-63.25103,,SN07SPW00522741,stopped recording,
17,64,20-Jul-17,df,15:23:48,yes,buoy,47.59791,-63.46347,,SN07SPW00324630,buoy away,
17,64,20-Jul-17,df,15:27:06,yes,buoy,47.599,-63.4655,,SN07SPW00324630,ap buoy,
