script,name,url,email_list
proc_2019_noaa_twin_otter.R,NOAA NEFSC aerial survey sightings/tracks,https://www.nefsc.noaa.gov/psb/surveys/NARWSS.html,data/raw/2019_noaa_twin_otter/edit_data/WhaleMap_email_list.csv
proc_live_dcs.R,Dal/WHOI acoustic detections,http://dcs.whoi.edu/,data/email/default.csv
proc_2019_opportunistic.R,DFO opportunistic sightings reports,http://dfo-mpo.gc.ca/species-especes/mammals-mammiferes/report-rapport/page01-eng.html,data/raw/2019_whalemapdata/2019-opportunistic-sightings/email_list.csv
proc_2019_dfo_cessna_sightings.R,DFO Cessna aerial survey sightings,http://dfo-mpo.gc.ca/campaign-campagne/protectingwhales-protegerbaleines/index-eng.html,data/raw/2019_whalemapdata/DFO_cessna/email_list.csv
proc_2019_dfo_cessna_tracks.R,DFO Cessna aerial survey tracks,http://dfo-mpo.gc.ca/campaign-campagne/protectingwhales-protegerbaleines/index-eng.html,data/raw/2019_whalemapdata/DFO_cessna/email_list.csv
proc_2019_tc_dash8_sightings.R,TC Dash 8 aerial survey sightings,http://www.tc.gc.ca/en/services/marine/navigation-marine-conditions/protecting-north-atlantic-right-whales-collisions-ships-gulf-st-lawrence.html,data/raw/2019_whalemapdata/TC_Dash8/email_list.csv
proc_2019_tc_dash8_tracks.R,TC Dash 8 aerial survey tracks,http://www.tc.gc.ca/en/services/marine/navigation-marine-conditions/protecting-north-atlantic-right-whales-collisions-ships-gulf-st-lawrence.html,data/raw/2019_whalemapdata/TC_Dash8/email_list.csv
proc_2019_tc_dash7_sightings.R,TC Dash 7 aerial survey sightings,http://www.tc.gc.ca/en/services/marine/navigation-marine-conditions/protecting-north-atlantic-right-whales-collisions-ships-gulf-st-lawrence.html,data/raw/2019_whalemapdata/TC_Dash7/email_list.csv
proc_2019_tc_dash7_tracks.R,TC Dash 7 aerial survey tracks,http://www.tc.gc.ca/en/services/marine/navigation-marine-conditions/protecting-north-atlantic-right-whales-collisions-ships-gulf-st-lawrence.html,data/raw/2019_whalemapdata/TC_Dash7/email_list.csv
proc_2019_mics_sightings.R, MICS vessel survey sightings,https://www.rorqual.com/english/home,data/email/default.csv
proc_2019_mics_tracks.R,MICS vessel survey tracks,https://www.rorqual.com/english/home,data/email/default.csv
